length,variant,backend_mode,backend_name,num_sequences,num_sequence_runs,mean_energy_gap,std_energy_gap,mean_pair_f1,std_pair_f1,mean_weighted_raw_validity,std_weighted_raw_validity,mean_weighted_stems_removed,std_weighted_stems_removed,mean_retained_probability_mass,std_retained_probability_mass,mean_num_variables,std_num_variables,mean_num_quadratic_terms,std_num_quadratic_terms,mean_num_qubits,std_num_qubits,mean_circuit_depth,std_circuit_depth,mean_sampling_seconds,std_sampling_seconds
10,postprocessed,aer,aer_simulator,30,30,2.833333345254262,1.380487998834805,0.0,0.0,0.500390625,0.5081504025403298,0.59951171875,0.674215483500367,1.0,0.0,1.6,0.6746646676632053,0.0,0.0,1.6,0.6746646676632053,2.0,0.0,0.006363005400013757,0.003002317903841355
12,postprocessed,aer,aer_simulator,30,30,1.983333338300387,1.5616267671693627,0.16666666666666666,0.3790490217894517,0.16941731770833332,0.3778464160690833,2.3305989583333333,1.4602855002417383,1.0,0.0,3.7,1.7840287611722112,0.0,0.0,3.7,1.7840287611722112,2.0,0.0,0.008308810133341107,0.005080890386429095
14,postprocessed,aer,aer_simulator,30,30,2.02333332101504,1.6839369453156932,0.2,0.40683810217248617,0.070703125,0.25345027546068105,3.268701171875,2.061965507003142,1.0,0.0,4.7,2.465625751168978,0.0,0.0,4.7,2.465625751168978,2.0,0.0,0.007266866833363817,0.0022557370467346806
16,postprocessed,aer,aer_simulator,30,30,1.0200000002980232,1.2804632823026634,0.4666666666666667,0.5074162634049248,0.10026041666666667,0.3050416686276817,5.347591145833333,3.032199857888878,1.0,0.0,7.566666666666666,3.953901027255656,0.0,0.0,7.566666666666666,3.953901027255656,2.0,0.0,0.010084709166661267,0.0046522408727768865
18,postprocessed,aer,aer_simulator,30,30,1.6866666657229266,1.929754922284636,0.29523809523809524,0.4593746833414423,6.510416666666667e-05,0.00024776184736568596,8.666520182291666,3.483998489584809,1.0,0.0,11.733333333333333,4.600849496772745,0.0,0.0,11.733333333333333,4.600849496772745,2.0,0.0,0.015698841899999573,0.015189230361213153
19,postprocessed,aer,aer_simulator,30,30,1.329999989271164,2.0470584007271486,0.42554112554112555,0.4957955179422995,0.000537109375,0.0029418692053500136,8.625,3.3538834754657607,1.0,0.0,11.9,4.253598881920563,0.0,0.0,11.9,4.253598881920563,2.0,0.0,0.017559281900002995,0.019529188319813998
20,postprocessed,aer,aer_simulator,30,30,1.1099999994039536,1.4128352407770441,0.5328042328042328,0.4834995230966971,3.255208333333333e-05,0.00017829510335454625,9.088590494791667,3.503516806752586,1.0,0.0,11.933333333333334,4.494696747342886,0.0,0.0,11.933333333333334,4.494696747342886,2.0,0.0,0.015261663866688915,0.007959974949125481
10,relaxed,aer,aer_simulator,30,30,1.4700000047683717,1.6599023553061076,0.4666666666666667,0.5074162634049248,0.9044921875,0.2533338689423407,0.11611328125,0.33390631866491305,1.0,0.0,1.6,0.6746646676632053,0.5666666666666667,0.7279320417946061,1.6,0.6746646676632053,3.1,1.3480509557543974,0.006218121899989103,0.0018983995371034997
12,relaxed,aer,aer_simulator,30,30,0.533333330353101,1.2066863469021631,0.8,0.4068381021724863,0.5588704427083333,0.3080672605099837,0.580029296875,0.4480163743659937,1.0,0.0,3.7,1.7840287611722112,5.4,5.082763299487857,3.7,1.7840287611722112,7.533333333333333,3.857221917331207,0.006858077999997123,0.0024944674802562434
14,relaxed,aer,aer_simulator,30,30,0.3166666636864344,1.0020954950045289,0.9,0.30512857662936466,0.5072916666666667,0.33625182675955606,0.7753743489583333,0.6952332217062324,1.0,0.0,4.7,2.465625751168978,8.7,8.209120243510494,4.7,2.465625751168978,8.9,4.971296923685838,0.00817151069998843,0.004220992096598348
